"Year","Site","Block","Paddock","Drought","Grazing","Plot","slope_simple","npp_type","npp_gm2"
2018,"TB",1,1,0,"MMMMM",15,2,"ANPP",159.15
2018,"TB",1,1,0,"MMMMM",15,2,"BNPP",NA
2018,"TB",1,1,0,"MMMMM",15,2,"totNPP",NA
2018,"TB",1,1,0,"MMMMM",17,2,"ANPP",107.5
2018,"TB",1,1,0,"MMMMM",17,2,"BNPP",NA
2018,"TB",1,1,0,"MMMMM",17,2,"totNPP",NA
2018,"TB",1,1,25,"MMMMM",16,2,"ANPP",202.5
2018,"TB",1,1,25,"MMMMM",16,2,"BNPP",NA
2018,"TB",1,1,25,"MMMMM",16,2,"totNPP",NA
2018,"TB",1,1,50,"MMMMM",13,2,"ANPP",167.75
2018,"TB",1,1,50,"MMMMM",13,2,"BNPP",NA
2018,"TB",1,1,50,"MMMMM",13,2,"totNPP",NA
2018,"TB",1,1,75,"MMMMM",14,2,"ANPP",228.55
2018,"TB",1,1,75,"MMMMM",14,2,"BNPP",NA
2018,"TB",1,1,75,"MMMMM",14,2,"totNPP",NA
2018,"TB",1,1,99,"MMMMM",18,2,"ANPP",144.35
2018,"TB",1,1,99,"MMMMM",18,2,"BNPP",NA
2018,"TB",1,1,99,"MMMMM",18,2,"totNPP",NA
2018,"TB",1,3,0,"MLLMM",7,1,"ANPP",115.45
2018,"TB",1,3,0,"MLLMM",7,1,"BNPP",NA
2018,"TB",1,3,0,"MLLMM",7,1,"totNPP",NA
2018,"TB",1,3,0,"MLLMM",9,1,"ANPP",106.45
2018,"TB",1,3,0,"MLLMM",9,1,"BNPP",NA
2018,"TB",1,3,0,"MLLMM",9,1,"totNPP",NA
2018,"TB",1,3,25,"MLLMM",12,1,"ANPP",83.85
2018,"TB",1,3,25,"MLLMM",12,1,"BNPP",NA
2018,"TB",1,3,25,"MLLMM",12,1,"totNPP",NA
2018,"TB",1,3,50,"MLLMM",11,1,"ANPP",77.5
2018,"TB",1,3,50,"MLLMM",11,1,"BNPP",NA
2018,"TB",1,3,50,"MLLMM",11,1,"totNPP",NA
2018,"TB",1,3,75,"MLLMM",8,1,"ANPP",70.3
2018,"TB",1,3,75,"MLLMM",8,1,"BNPP",NA
2018,"TB",1,3,75,"MLLMM",8,1,"totNPP",NA
2018,"TB",1,3,99,"MLLMM",10,1,"ANPP",143.5
2018,"TB",1,3,99,"MLLMM",10,1,"BNPP",NA
2018,"TB",1,3,99,"MLLMM",10,1,"totNPP",NA
2018,"TB",2,1,0,"MMMMM",25,1,"ANPP",58.5
2018,"TB",2,1,0,"MMMMM",25,1,"BNPP",NA
2018,"TB",2,1,0,"MMMMM",25,1,"totNPP",NA
2018,"TB",2,1,0,"MMMMM",29,1,"ANPP",108.5
2018,"TB",2,1,0,"MMMMM",29,1,"BNPP",NA
2018,"TB",2,1,0,"MMMMM",29,1,"totNPP",NA
2018,"TB",2,1,25,"MMMMM",30,1,"ANPP",155.45
2018,"TB",2,1,25,"MMMMM",30,1,"BNPP",NA
2018,"TB",2,1,25,"MMMMM",30,1,"totNPP",NA
2018,"TB",2,1,50,"MMMMM",27,1,"ANPP",100.05
2018,"TB",2,1,50,"MMMMM",27,1,"BNPP",NA
2018,"TB",2,1,50,"MMMMM",27,1,"totNPP",NA
2018,"TB",2,1,75,"MMMMM",26,1,"ANPP",38.55
2018,"TB",2,1,75,"MMMMM",26,1,"BNPP",NA
2018,"TB",2,1,75,"MMMMM",26,1,"totNPP",NA
2018,"TB",2,1,99,"MMMMM",28,1,"ANPP",57.35
2018,"TB",2,1,99,"MMMMM",28,1,"BNPP",NA
2018,"TB",2,1,99,"MMMMM",28,1,"totNPP",NA
2018,"TB",2,3,0,"MLLMM",34,2,"ANPP",96.1
2018,"TB",2,3,0,"MLLMM",34,2,"BNPP",NA
2018,"TB",2,3,0,"MLLMM",34,2,"totNPP",NA
2018,"TB",2,3,0,"MLLMM",36,2,"ANPP",68.2
2018,"TB",2,3,0,"MLLMM",36,2,"BNPP",NA
2018,"TB",2,3,0,"MLLMM",36,2,"totNPP",NA
2018,"TB",2,3,25,"MLLMM",32,2,"ANPP",87.4
2018,"TB",2,3,25,"MLLMM",32,2,"BNPP",NA
2018,"TB",2,3,25,"MLLMM",32,2,"totNPP",NA
2018,"TB",2,3,50,"MLLMM",35,2,"ANPP",111.55
2018,"TB",2,3,50,"MLLMM",35,2,"BNPP",NA
2018,"TB",2,3,50,"MLLMM",35,2,"totNPP",NA
2018,"TB",2,3,75,"MLLMM",33,2,"ANPP",107
2018,"TB",2,3,75,"MLLMM",33,2,"BNPP",NA
2018,"TB",2,3,75,"MLLMM",33,2,"totNPP",NA
2018,"TB",2,3,99,"MLLMM",31,2,"ANPP",121.15
2018,"TB",2,3,99,"MLLMM",31,2,"BNPP",NA
2018,"TB",2,3,99,"MLLMM",31,2,"totNPP",NA
2018,"TB",3,1,0,"MMMMM",52,2,"ANPP",134.45
2018,"TB",3,1,0,"MMMMM",52,2,"BNPP",NA
2018,"TB",3,1,0,"MMMMM",52,2,"totNPP",NA
2018,"TB",3,1,0,"MMMMM",53,2,"ANPP",119.75
2018,"TB",3,1,0,"MMMMM",53,2,"BNPP",NA
2018,"TB",3,1,0,"MMMMM",53,2,"totNPP",NA
2018,"TB",3,1,25,"MMMMM",50,2,"ANPP",138.95
2018,"TB",3,1,25,"MMMMM",50,2,"BNPP",NA
2018,"TB",3,1,25,"MMMMM",50,2,"totNPP",NA
2018,"TB",3,1,50,"MMMMM",49,2,"ANPP",167.5
2018,"TB",3,1,50,"MMMMM",49,2,"BNPP",NA
2018,"TB",3,1,50,"MMMMM",49,2,"totNPP",NA
2018,"TB",3,1,75,"MMMMM",54,2,"ANPP",111
2018,"TB",3,1,75,"MMMMM",54,2,"BNPP",NA
2018,"TB",3,1,75,"MMMMM",54,2,"totNPP",NA
2018,"TB",3,1,99,"MMMMM",51,2,"ANPP",160.5
2018,"TB",3,1,99,"MMMMM",51,2,"BNPP",NA
2018,"TB",3,1,99,"MMMMM",51,2,"totNPP",NA
2018,"TB",3,2,0,"HHMMM",43,1,"ANPP",133.75
2018,"TB",3,2,0,"HHMMM",43,1,"BNPP",NA
2018,"TB",3,2,0,"HHMMM",43,1,"totNPP",NA
2018,"TB",3,2,0,"HHMMM",48,1,"ANPP",144.5
2018,"TB",3,2,0,"HHMMM",48,1,"BNPP",NA
2018,"TB",3,2,0,"HHMMM",48,1,"totNPP",NA
2018,"TB",3,2,25,"HHMMM",44,1,"ANPP",155.25
2018,"TB",3,2,25,"HHMMM",44,1,"BNPP",NA
2018,"TB",3,2,25,"HHMMM",44,1,"totNPP",NA
2018,"TB",3,2,50,"HHMMM",45,1,"ANPP",127.25
2018,"TB",3,2,50,"HHMMM",45,1,"BNPP",NA
2018,"TB",3,2,50,"HHMMM",45,1,"totNPP",NA
2018,"TB",3,2,75,"HHMMM",46,1,"ANPP",142.1
2018,"TB",3,2,75,"HHMMM",46,1,"BNPP",NA
2018,"TB",3,2,75,"HHMMM",46,1,"totNPP",NA
2018,"TB",3,2,99,"HHMMM",47,1,"ANPP",190.85
2018,"TB",3,2,99,"HHMMM",47,1,"BNPP",NA
2018,"TB",3,2,99,"HHMMM",47,1,"totNPP",NA
2018,"TB",3,3,0,"MLLMM",39,1,"ANPP",155.25
2018,"TB",3,3,0,"MLLMM",39,1,"BNPP",NA
2018,"TB",3,3,0,"MLLMM",39,1,"totNPP",NA
2018,"TB",3,3,0,"MLLMM",41,1,"ANPP",147.1
2018,"TB",3,3,0,"MLLMM",41,1,"BNPP",NA
2018,"TB",3,3,0,"MLLMM",41,1,"totNPP",NA
2018,"TB",3,3,25,"MLLMM",38,1,"ANPP",138.25
2018,"TB",3,3,25,"MLLMM",38,1,"BNPP",NA
2018,"TB",3,3,25,"MLLMM",38,1,"totNPP",NA
2018,"TB",3,3,50,"MLLMM",42,1,"ANPP",186
2018,"TB",3,3,50,"MLLMM",42,1,"BNPP",NA
2018,"TB",3,3,50,"MLLMM",42,1,"totNPP",NA
2018,"TB",3,3,75,"MLLMM",37,1,"ANPP",153.95
2018,"TB",3,3,75,"MLLMM",37,1,"BNPP",NA
2018,"TB",3,3,75,"MLLMM",37,1,"totNPP",NA
2018,"TB",3,3,99,"MLLMM",40,1,"ANPP",206.65
2018,"TB",3,3,99,"MLLMM",40,1,"BNPP",NA
2018,"TB",3,3,99,"MLLMM",40,1,"totNPP",NA
2019,"TB",1,1,0,"MMMMM",15,2,"ANPP",149
2019,"TB",1,1,0,"MMMMM",15,2,"BNPP",114.039217887519
2019,"TB",1,1,0,"MMMMM",15,2,"totNPP",263.039217887519
2019,"TB",1,1,0,"MMMMM",17,2,"ANPP",199.8
2019,"TB",1,1,0,"MMMMM",17,2,"BNPP",89.4593947609419
2019,"TB",1,1,0,"MMMMM",17,2,"totNPP",289.259394760942
2019,"TB",1,1,25,"MMMMM",16,2,"ANPP",158.3
2019,"TB",1,1,25,"MMMMM",16,2,"BNPP",81.1210690743759
2019,"TB",1,1,25,"MMMMM",16,2,"totNPP",239.421069074376
2019,"TB",1,1,50,"MMMMM",13,2,"ANPP",123.5
2019,"TB",1,1,50,"MMMMM",13,2,"BNPP",214.634638390848
2019,"TB",1,1,50,"MMMMM",13,2,"totNPP",338.134638390848
2019,"TB",1,1,75,"MMMMM",14,2,"ANPP",128.6
2019,"TB",1,1,75,"MMMMM",14,2,"BNPP",133.997924928523
2019,"TB",1,1,75,"MMMMM",14,2,"totNPP",262.597924928523
2019,"TB",1,1,99,"MMMMM",18,2,"ANPP",122.6
2019,"TB",1,1,99,"MMMMM",18,2,"BNPP",183.992849426327
2019,"TB",1,1,99,"MMMMM",18,2,"totNPP",306.592849426327
2019,"TB",1,2,0,"HHMMM",3,1,"ANPP",50.8
2019,"TB",1,2,0,"HHMMM",3,1,"BNPP",113.884418770815
2019,"TB",1,2,0,"HHMMM",3,1,"totNPP",164.684418770815
2019,"TB",1,2,0,"HHMMM",4,1,"ANPP",116.5
2019,"TB",1,2,0,"HHMMM",4,1,"BNPP",136.825302876219
2019,"TB",1,2,0,"HHMMM",4,1,"totNPP",253.325302876219
2019,"TB",1,2,25,"HHMMM",6,1,"ANPP",90.1
2019,"TB",1,2,25,"HHMMM",6,1,"BNPP",126.128983238416
2019,"TB",1,2,25,"HHMMM",6,1,"totNPP",216.228983238416
2019,"TB",1,2,50,"HHMMM",5,1,"ANPP",139.5
2019,"TB",1,2,50,"HHMMM",5,1,"BNPP",308.14271995352
2019,"TB",1,2,50,"HHMMM",5,1,"totNPP",447.64271995352
2019,"TB",1,2,75,"HHMMM",1,1,"ANPP",191.5
2019,"TB",1,2,75,"HHMMM",1,1,"BNPP",153.028785567671
2019,"TB",1,2,75,"HHMMM",1,1,"totNPP",344.528785567671
2019,"TB",1,2,99,"HHMMM",2,1,"ANPP",135
2019,"TB",1,2,99,"HHMMM",2,1,"BNPP",220.811505201871
2019,"TB",1,2,99,"HHMMM",2,1,"totNPP",355.811505201871
2019,"TB",1,3,0,"MLLMM",7,1,"ANPP",118.1
2019,"TB",1,3,0,"MLLMM",7,1,"BNPP",251.11026184274
2019,"TB",1,3,0,"MLLMM",7,1,"totNPP",369.21026184274
2019,"TB",1,3,0,"MLLMM",9,1,"ANPP",120.1
2019,"TB",1,3,0,"MLLMM",9,1,"BNPP",160.356313071357
2019,"TB",1,3,0,"MLLMM",9,1,"totNPP",280.456313071357
2019,"TB",1,3,25,"MLLMM",12,1,"ANPP",130.2
2019,"TB",1,3,25,"MLLMM",12,1,"BNPP",165.450580333866
2019,"TB",1,3,25,"MLLMM",12,1,"totNPP",295.650580333866
2019,"TB",1,3,50,"MLLMM",11,1,"ANPP",162
2019,"TB",1,3,50,"MLLMM",11,1,"BNPP",135.435463957577
2019,"TB",1,3,50,"MLLMM",11,1,"totNPP",297.435463957577
2019,"TB",1,3,75,"MLLMM",8,1,"ANPP",86.9
2019,"TB",1,3,75,"MLLMM",8,1,"BNPP",189.216330844605
2019,"TB",1,3,75,"MLLMM",8,1,"totNPP",276.116330844605
2019,"TB",1,3,99,"MLLMM",10,1,"ANPP",90.5
2019,"TB",1,3,99,"MLLMM",10,1,"BNPP",180.968779976059
2019,"TB",1,3,99,"MLLMM",10,1,"totNPP",271.468779976059
2019,"TB",2,1,0,"MMMMM",25,1,"ANPP",45
2019,"TB",2,1,0,"MMMMM",25,1,"BNPP",98.0267125491603
2019,"TB",2,1,0,"MMMMM",25,1,"totNPP",143.02671254916
2019,"TB",2,1,0,"MMMMM",29,1,"ANPP",125
2019,"TB",2,1,0,"MMMMM",29,1,"BNPP",124.805284450216
2019,"TB",2,1,0,"MMMMM",29,1,"totNPP",249.805284450216
2019,"TB",2,1,25,"MMMMM",30,1,"ANPP",117.8
2019,"TB",2,1,25,"MMMMM",30,1,"BNPP",116.24482198216
2019,"TB",2,1,25,"MMMMM",30,1,"totNPP",234.04482198216
2019,"TB",2,1,50,"MMMMM",27,1,"ANPP",63.6
2019,"TB",2,1,50,"MMMMM",27,1,"BNPP",149.532169974319
2019,"TB",2,1,50,"MMMMM",27,1,"totNPP",213.132169974319
2019,"TB",2,1,75,"MMMMM",26,1,"ANPP",63.2
2019,"TB",2,1,75,"MMMMM",26,1,"BNPP",109.112231784939
2019,"TB",2,1,75,"MMMMM",26,1,"totNPP",172.312231784939
2019,"TB",2,1,99,"MMMMM",28,1,"ANPP",281.2
2019,"TB",2,1,99,"MMMMM",28,1,"BNPP",91.5549414309764
2019,"TB",2,1,99,"MMMMM",28,1,"totNPP",372.754941430976
2019,"TB",2,2,0,"HHMMM",20,2,"ANPP",122.6
2019,"TB",2,2,0,"HHMMM",20,2,"BNPP",127.843508387574
2019,"TB",2,2,0,"HHMMM",20,2,"totNPP",250.443508387574
2019,"TB",2,2,0,"HHMMM",23,2,"ANPP",64.5
2019,"TB",2,2,0,"HHMMM",23,2,"BNPP",123.096616931538
2019,"TB",2,2,0,"HHMMM",23,2,"totNPP",187.596616931538
2019,"TB",2,2,25,"HHMMM",24,2,"ANPP",71.2
2019,"TB",2,2,25,"HHMMM",24,2,"BNPP",120.512340039774
2019,"TB",2,2,25,"HHMMM",24,2,"totNPP",191.712340039774
2019,"TB",2,2,50,"HHMMM",19,2,"ANPP",55.4
2019,"TB",2,2,50,"HHMMM",19,2,"BNPP",150.971810200347
2019,"TB",2,2,50,"HHMMM",19,2,"totNPP",206.371810200347
2019,"TB",2,2,75,"HHMMM",22,2,"ANPP",40.7
2019,"TB",2,2,75,"HHMMM",22,2,"BNPP",116.63578134563
2019,"TB",2,2,75,"HHMMM",22,2,"totNPP",157.33578134563
2019,"TB",2,2,99,"HHMMM",21,2,"ANPP",51.5
2019,"TB",2,2,99,"HHMMM",21,2,"BNPP",129.754322532043
2019,"TB",2,2,99,"HHMMM",21,2,"totNPP",181.254322532043
2019,"TB",2,3,0,"MLLMM",34,2,"ANPP",83.1
2019,"TB",2,3,0,"MLLMM",34,2,"BNPP",120.805260423124
2019,"TB",2,3,0,"MLLMM",34,2,"totNPP",203.905260423124
2019,"TB",2,3,0,"MLLMM",36,2,"ANPP",46.1
2019,"TB",2,3,0,"MLLMM",36,2,"BNPP",173.170588635704
2019,"TB",2,3,0,"MLLMM",36,2,"totNPP",219.270588635704
2019,"TB",2,3,25,"MLLMM",32,2,"ANPP",108.5
2019,"TB",2,3,25,"MLLMM",32,2,"BNPP",177.296901539404
2019,"TB",2,3,25,"MLLMM",32,2,"totNPP",285.796901539404
2019,"TB",2,3,50,"MLLMM",35,2,"ANPP",45
2019,"TB",2,3,50,"MLLMM",35,2,"BNPP",132.847055305331
2019,"TB",2,3,50,"MLLMM",35,2,"totNPP",177.847055305331
2019,"TB",2,3,75,"MLLMM",33,2,"ANPP",97.9
2019,"TB",2,3,75,"MLLMM",33,2,"BNPP",132.138538689419
2019,"TB",2,3,75,"MLLMM",33,2,"totNPP",230.038538689419
2019,"TB",2,3,99,"MLLMM",31,2,"ANPP",86.4
2019,"TB",2,3,99,"MLLMM",31,2,"BNPP",144.370233120408
2019,"TB",2,3,99,"MLLMM",31,2,"totNPP",230.770233120408
2019,"TB",3,1,0,"MMMMM",52,2,"ANPP",108.9
2019,"TB",3,1,0,"MMMMM",52,2,"BNPP",107.245724733722
2019,"TB",3,1,0,"MMMMM",52,2,"totNPP",216.145724733722
2019,"TB",3,1,0,"MMMMM",53,2,"ANPP",109.5
2019,"TB",3,1,0,"MMMMM",53,2,"BNPP",133.296403609965
2019,"TB",3,1,0,"MMMMM",53,2,"totNPP",242.796403609965
2019,"TB",3,1,25,"MMMMM",50,2,"ANPP",147.3
2019,"TB",3,1,25,"MMMMM",50,2,"BNPP",138.853744470927
2019,"TB",3,1,25,"MMMMM",50,2,"totNPP",286.153744470927
2019,"TB",3,1,50,"MMMMM",49,2,"ANPP",148.5
2019,"TB",3,1,50,"MMMMM",49,2,"BNPP",100.456872111653
2019,"TB",3,1,50,"MMMMM",49,2,"totNPP",248.956872111653
2019,"TB",3,1,75,"MMMMM",54,2,"ANPP",151.5
2019,"TB",3,1,75,"MMMMM",54,2,"BNPP",106.475071640786
2019,"TB",3,1,75,"MMMMM",54,2,"totNPP",257.975071640786
2019,"TB",3,1,99,"MMMMM",51,2,"ANPP",98.7
2019,"TB",3,1,99,"MMMMM",51,2,"BNPP",71.3180373547807
2019,"TB",3,1,99,"MMMMM",51,2,"totNPP",170.018037354781
2019,"TB",3,2,0,"HHMMM",43,1,"ANPP",165.8
2019,"TB",3,2,0,"HHMMM",43,1,"BNPP",159.071157136792
2019,"TB",3,2,0,"HHMMM",43,1,"totNPP",324.871157136792
2019,"TB",3,2,0,"HHMMM",48,1,"ANPP",120.6
2019,"TB",3,2,0,"HHMMM",48,1,"BNPP",167.647173354349
2019,"TB",3,2,0,"HHMMM",48,1,"totNPP",288.247173354349
2019,"TB",3,2,25,"HHMMM",44,1,"ANPP",215
2019,"TB",3,2,25,"HHMMM",44,1,"BNPP",154.94275819286
2019,"TB",3,2,25,"HHMMM",44,1,"totNPP",369.94275819286
2019,"TB",3,2,50,"HHMMM",45,1,"ANPP",115.5
2019,"TB",3,2,50,"HHMMM",45,1,"BNPP",123.998474215632
2019,"TB",3,2,50,"HHMMM",45,1,"totNPP",239.498474215632
2019,"TB",3,2,75,"HHMMM",46,1,"ANPP",108.2
2019,"TB",3,2,75,"HHMMM",46,1,"BNPP",204.826321109506
2019,"TB",3,2,75,"HHMMM",46,1,"totNPP",313.026321109506
2019,"TB",3,2,99,"HHMMM",47,1,"ANPP",97.3
2019,"TB",3,2,99,"HHMMM",47,1,"BNPP",130.703006629288
2019,"TB",3,2,99,"HHMMM",47,1,"totNPP",228.003006629289
2019,"TB",3,3,0,"MLLMM",39,1,"ANPP",102.6
2019,"TB",3,3,0,"MLLMM",39,1,"BNPP",106.113705427099
2019,"TB",3,3,0,"MLLMM",39,1,"totNPP",208.713705427099
2019,"TB",3,3,0,"MLLMM",41,1,"ANPP",179
2019,"TB",3,3,0,"MLLMM",41,1,"BNPP",172.789216550104
2019,"TB",3,3,0,"MLLMM",41,1,"totNPP",351.789216550104
2019,"TB",3,3,25,"MLLMM",38,1,"ANPP",95.2
2019,"TB",3,3,25,"MLLMM",38,1,"BNPP",122.207000385826
2019,"TB",3,3,25,"MLLMM",38,1,"totNPP",217.407000385826
2019,"TB",3,3,50,"MLLMM",42,1,"ANPP",209.5
2019,"TB",3,3,50,"MLLMM",42,1,"BNPP",155.999385852832
2019,"TB",3,3,50,"MLLMM",42,1,"totNPP",365.499385852832
2019,"TB",3,3,75,"MLLMM",37,1,"ANPP",104.9
2019,"TB",3,3,75,"MLLMM",37,1,"BNPP",196.738401055006
2019,"TB",3,3,75,"MLLMM",37,1,"totNPP",301.638401055007
2019,"TB",3,3,99,"MLLMM",40,1,"ANPP",140.6
2019,"TB",3,3,99,"MLLMM",40,1,"BNPP",84.7210169229338
2019,"TB",3,3,99,"MLLMM",40,1,"totNPP",225.321016922934
2020,"TB",1,1,0,"MMMMM",15,2,"ANPP",66.6
2020,"TB",1,1,0,"MMMMM",15,2,"BNPP",220.151177198118
2020,"TB",1,1,0,"MMMMM",15,2,"totNPP",286.751177198118
2020,"TB",1,1,0,"MMMMM",17,2,"ANPP",55.75
2020,"TB",1,1,0,"MMMMM",17,2,"BNPP",200.128735694002
2020,"TB",1,1,0,"MMMMM",17,2,"totNPP",255.878735694002
2020,"TB",1,1,25,"MMMMM",16,2,"ANPP",76.15
2020,"TB",1,1,25,"MMMMM",16,2,"BNPP",223.918268630011
2020,"TB",1,1,25,"MMMMM",16,2,"totNPP",300.068268630011
2020,"TB",1,1,50,"MMMMM",13,2,"ANPP",47.05
2020,"TB",1,1,50,"MMMMM",13,2,"BNPP",193.794301479785
2020,"TB",1,1,50,"MMMMM",13,2,"totNPP",240.844301479785
2020,"TB",1,1,75,"MMMMM",14,2,"ANPP",36.9
2020,"TB",1,1,75,"MMMMM",14,2,"BNPP",140.958440138309
2020,"TB",1,1,75,"MMMMM",14,2,"totNPP",177.858440138309
2020,"TB",1,1,99,"MMMMM",18,2,"ANPP",70.75
2020,"TB",1,1,99,"MMMMM",18,2,"BNPP",215.12564818559
2020,"TB",1,1,99,"MMMMM",18,2,"totNPP",285.87564818559
2020,"TB",1,2,0,"HHMMM",3,1,"ANPP",64.25
2020,"TB",1,2,0,"HHMMM",3,1,"BNPP",90.5985286812786
2020,"TB",1,2,0,"HHMMM",3,1,"totNPP",154.848528681279
2020,"TB",1,2,0,"HHMMM",4,1,"ANPP",52.25
2020,"TB",1,2,0,"HHMMM",4,1,"BNPP",NA
2020,"TB",1,2,0,"HHMMM",4,1,"totNPP",NA
2020,"TB",1,2,25,"HHMMM",6,1,"ANPP",91
2020,"TB",1,2,25,"HHMMM",6,1,"BNPP",132.584625435118
2020,"TB",1,2,25,"HHMMM",6,1,"totNPP",223.584625435118
2020,"TB",1,2,50,"HHMMM",5,1,"ANPP",73.55
2020,"TB",1,2,50,"HHMMM",5,1,"BNPP",171.198448932928
2020,"TB",1,2,50,"HHMMM",5,1,"totNPP",244.748448932928
2020,"TB",1,2,75,"HHMMM",1,1,"ANPP",40
2020,"TB",1,2,75,"HHMMM",1,1,"BNPP",83.532540905607
2020,"TB",1,2,75,"HHMMM",1,1,"totNPP",123.532540905607
